level_0,index,Time_start,Time_end,Labels,Label_old,Label_X_old,Time_diff,changed_ids
0,0,0.0,1.567,s,s,,1.567,0
1,1,1.567,1.683,p,p,s,0.1160000000000001,0
2,2,1.683,2.5380000000000003,s,s,p,0.8549999999999998,0
3,3,2.5380000000000003,2.62,p,p,s,0.0820000000000003,0
4,4,2.62,3.7310000000000003,s,s,p,1.1109999999999998,0
5,5,3.7310000000000003,3.8089999999999997,p,p,s,0.07800000000000029,0
6,6,3.8089999999999997,4.9830000000000005,s,s,p,1.1740000000000004,0
7,7,4.9830000000000005,5.965,p,p,s,0.9819999999999993,1
10,10,5.965,8.793,s,s,p,2.8279999999999994,0
11,11,8.793,9.612,p,p,s,0.8190000000000008,0
12,12,9.612,11.57,s,s,p,1.958,0
13,13,11.57,12.186,p,p,s,0.6159999999999997,0
16,16,12.186,13.727,s,s,p,1.5410000000000004,0
17,17,13.727,13.83,p,p,s,0.10299999999999976,0
18,18,13.83,14.64,s,s,p,0.8100000000000005,0
19,19,14.64,14.954,p,p,s,0.3140000000000001,0
20,20,14.954,15.677,s,s,p,0.722999999999999,0
21,21,15.677,15.777999999999999,p,p,s,0.10100000000000088,0
22,22,15.777999999999999,16.475,s,s,p,0.6970000000000011,0
23,23,16.475,17.417,p,p,s,0.9420000000000002,1
26,26,17.417,18.0,s,s,p,0.5829999999999984,0
27,27,18.0,18.086,p,p,s,0.08599999999999852,0
28,28,18.086,18.74,s,s,p,0.6539999999999999,0
29,29,18.74,19.149,p,p,s,0.4090000000000025,0
30,30,19.149,19.32,s,s,p,0.17099999999999935,0
31,31,19.32,19.442999999999998,p,p,s,0.12300000000000112,0
32,32,19.442999999999998,20.322,s,s,p,0.8789999999999978,0
33,33,20.322,20.980999999999998,p,p,s,0.6590000000000025,0
36,36,20.980999999999998,22.259,s,s,p,1.2779999999999987,0
37,37,22.259,22.355,p,p,s,0.09600000000000007,0
38,38,22.355,23.943,s,s,p,1.588000000000001,0
39,39,23.943,24.0,p,p,s,0.056999999999998614,0
40,40,24.0,25.202,s,s,p,1.2019999999999982,0
41,41,25.202,26.08,p,p,s,0.8780000000000001,0
42,42,26.08,28.074,s,s,p,1.9940000000000035,0
43,43,28.074,28.546,p,p,s,0.4719999999999978,0
44,44,28.546,29.635,s,s,p,1.0889999999999986,0
45,45,29.635,30.226999999999997,p,p,s,0.5920000000000023,0
46,46,30.226999999999997,30.66,s,s,p,0.43299999999999983,0
47,47,30.66,30.73,p,p,s,0.07000000000000027,0
48,48,30.73,31.166,s,s,p,0.436,0
49,49,31.166,31.22,p,p,s,0.053999999999998494,0
50,50,31.22,32.873000000000005,s,s,p,1.6529999999999987,0
51,51,32.873000000000005,34.104,p,p,s,1.2310000000000016,0
52,52,34.104,36.118,s,s,p,2.0140000000000033,0
53,53,36.118,36.218,p,p,s,0.10000000000000142,0
54,54,36.218,36.944,s,s,p,0.7259999999999991,0
55,55,36.944,37.025,p,p,s,0.08099999999999596,0
56,56,37.025,37.669000000000004,s,s,p,0.6439999999999984,0
57,57,37.669000000000004,38.303000000000004,p,p,s,0.6340000000000003,0
58,58,38.303000000000004,40.468,s,s,p,2.1650000000000063,0
59,59,40.468,41.152,p,p,s,0.6839999999999975,0
62,62,41.152,43.585,s,s,p,2.4330000000000003,0
63,63,43.585,44.32899999999999,p,p,s,0.7439999999999998,0
64,64,44.32899999999999,45.576,s,s,p,1.247,0
65,65,45.576,46.233999999999995,p,p,s,0.6580000000000013,0
66,66,46.233999999999995,46.931000000000004,s,s,p,0.6969999999999956,0
67,67,46.931000000000004,47.841,p,p,s,0.9100000000000036,0
70,70,47.841,49.766999999999996,s,s,p,1.9260000000000022,0
71,71,49.766999999999996,50.56,p,p,s,0.7929999999999993,0
74,74,50.56,52.895,s,s,p,2.335000000000001,0
75,75,52.895,52.965,p,p,s,0.07000000000000027,0
76,76,52.965,53.136,s,s,p,0.17099999999999935,0
77,77,53.136,53.288999999999994,p,p,s,0.1529999999999987,0
78,78,53.288999999999994,54.045,s,s,p,0.7560000000000002,0
79,79,54.045,54.115,p,p,s,0.07000000000000027,0
