level_0,index,Time_start,Time_end,Label_old,Label_X_old,Time_diff,Labels,changed_ids
0,0,0.0,0.9159999999999999,s,,0.9159999999999999,s,0
1,1,0.9159999999999999,1.156,p,s,0.2399999999999999,p,0
2,2,1.156,2.352,s,p,1.196,s,0
3,3,2.352,2.469,p,s,0.117,p,0
4,4,2.469,4.212,s,p,1.743,s,0
5,5,4.212,4.401,p,s,0.18900000000000008,p,0
6,6,4.401,4.658,s,p,0.2569999999999997,p,1
7,7,4.658,4.817,p,s,0.1590000000000007,p,0
8,8,4.817,6.0,s,p,1.1829999999999998,s,0
9,9,6.0,6.397,p,s,0.39700000000000013,p,0
10,10,6.397,7.996,s,p,1.5990000000000002,s,0
11,11,7.996,8.126,p,s,0.129999999999999,p,0
12,12,8.126,8.272,s,p,0.1460000000000008,p,1
13,13,8.272,8.404,p,s,0.13199999999999967,p,0
14,14,8.404,10.096,s,p,1.6920000000000002,s,0
15,15,10.096,10.259,p,s,0.16300000000000026,p,0
16,16,10.259,10.729000000000001,s,p,0.4699999999999989,s,0
17,17,10.729000000000001,10.795,p,s,0.06600000000000072,p,0
18,18,10.795,10.963,s,p,0.16800000000000104,p,1
19,19,10.963,11.135,p,s,0.17199999999999882,p,0
20,20,11.135,11.912,s,p,0.7769999999999992,s,0
21,21,11.912,12.742,p,s,0.8300000000000018,p,0
22,22,12.742,12.895999999999999,s,p,0.15399999999999991,s,0
23,23,12.895999999999999,12.960999999999999,p,s,0.0649999999999995,p,0
24,24,12.960999999999999,13.945,s,p,0.9840000000000001,s,0
25,25,13.945,14.024,p,s,0.07900000000000063,p,0
26,26,14.024,14.754000000000001,s,p,0.7299999999999986,s,0
27,27,14.754000000000001,15.33,p,s,0.5760000000000005,p,0
28,28,15.33,15.856,s,p,0.5259999999999998,s,0
29,29,15.856,16.066,p,s,0.20999999999999908,p,0
30,30,16.066,17.245,s,p,1.179000000000002,s,0
31,31,17.245,17.803,p,s,0.5579999999999998,p,0
34,34,17.803,18.833,s,p,1.0299999999999976,s,0
35,35,18.833,18.945999999999998,p,s,0.1130000000000031,p,0
36,36,18.945999999999998,19.783,s,p,0.8369999999999997,s,0
37,37,19.783,19.965,p,s,0.1819999999999986,p,0
38,38,19.965,20.211,s,p,0.24599999999999864,s,0
39,39,20.211,20.295,p,s,0.08400000000000317,p,0
40,40,20.295,20.418,s,p,0.12299999999999756,p,1
41,41,20.418,20.55,p,s,0.13200000000000145,p,0
42,42,20.55,21.423000000000002,s,p,0.8729999999999976,s,0
43,43,21.423000000000002,21.478,p,s,0.05500000000000327,p,0
44,44,21.478,23.061999999999998,s,p,1.5839999999999996,s,0
45,45,23.061999999999998,23.13,p,s,0.06799999999999784,p,0
46,46,23.13,23.92,s,p,0.7900000000000027,s,0
47,47,23.92,24.155,p,s,0.23499999999999946,p,0
48,48,24.155,24.340999999999998,s,p,0.18599999999999994,p,1
49,49,24.340999999999998,24.439,p,s,0.09799999999999898,p,0
50,50,24.439,24.845,s,p,0.4059999999999988,s,0
51,51,24.845,25.179000000000002,p,s,0.33399999999999963,p,0
52,52,25.179000000000002,26.81,s,p,1.6310000000000002,s,0
53,53,26.81,26.928,p,s,0.1180000000000021,p,0
54,54,26.928,28.471,s,p,1.5429999999999993,s,0
55,55,28.471,28.659000000000002,p,s,0.18799999999999886,p,0
56,56,28.659000000000002,28.884,s,p,0.22500000000000145,p,1
57,57,28.884,29.291,p,s,0.407,p,0
58,58,29.291,31.184,s,p,1.893000000000001,s,0
59,59,31.184,31.281999999999996,p,s,0.09799999999999898,p,0
60,60,31.281999999999996,31.476,s,p,0.19399999999999906,p,1
61,61,31.476,31.643,p,s,0.1670000000000016,p,0
62,62,31.643,32.272,s,p,0.6289999999999978,s,0
63,63,32.272,33.202,p,s,0.9299999999999996,p,0
64,64,33.202,33.952,s,p,0.75,s,0
65,65,33.952,34.214,p,s,0.26200000000000045,p,0
66,66,34.214,35.895,s,p,1.6810000000000045,s,0
67,67,35.895,35.981,p,s,0.08599999999999852,p,0
68,68,35.981,36.787,s,p,0.8059999999999974,s,0
69,69,36.787,36.853,p,s,0.0660000000000025,p,0
70,70,36.853,37.543,s,p,0.6899999999999977,s,0
71,71,37.543,37.673,p,s,0.13000000000000256,p,0
72,72,37.673,37.82,s,p,0.14699999999999847,p,1
73,73,37.82,37.88,p,s,0.060000000000002274,p,0
74,74,37.88,39.821,s,p,1.9409999999999956,s,0
75,75,39.821,39.876,p,s,0.054999999999999716,p,0
76,76,39.876,40.016999999999996,s,p,0.14100000000000534,p,1
77,77,40.016999999999996,40.227,p,s,0.20999999999999372,p,0
78,78,40.227,42.361000000000004,s,p,2.1340000000000003,s,0
79,79,42.361000000000004,42.881,p,s,0.5200000000000031,p,0
82,82,42.881,44.486999999999995,s,p,1.6060000000000016,s,0
83,83,44.486999999999995,45.107,p,s,0.6199999999999974,p,0
86,86,45.107,46.79,s,p,1.6829999999999998,s,0
87,87,46.79,47.463,p,s,0.6730000000000018,p,0
88,88,47.463,48.483999999999995,s,p,1.0210000000000008,s,0
89,89,48.483999999999995,48.64,p,s,0.1559999999999988,p,0
90,90,48.64,49.016000000000005,s,p,0.3759999999999977,s,0
91,91,49.016000000000005,49.411,p,s,0.3950000000000031,p,0
92,92,49.411,50.468999999999994,s,p,1.0579999999999998,s,0
93,93,50.468999999999994,50.998999999999995,p,s,0.5300000000000011,p,0
94,94,50.998999999999995,51.534,s,p,0.5349999999999966,s,0
95,95,51.534,51.825,p,s,0.2910000000000039,p,0
96,96,51.825,53.552,s,p,1.7269999999999968,s,0
