level_0,index,Time_start,Time_end,Labels,Label_old,Label_X_old,Time_diff,changed_ids
0,0,0.0,1.37,s,s,,1.37,0
1,1,1.37,1.517,p,p,s,0.1469999999999998,0
2,2,1.517,2.884,s,s,p,1.367,0
3,3,2.884,3.3089999999999997,p,p,s,0.42500000000000027,0
6,6,3.3089999999999997,4.668,s,s,p,1.359,0
7,7,4.668,5.113,p,p,s,0.4449999999999994,0
10,10,5.113,6.518,s,s,p,1.4050000000000002,0
11,11,6.518,7.005,p,p,s,0.4870000000000001,0
14,14,7.005,8.47,s,s,p,1.4650000000000007,0
15,15,8.47,8.66,p,p,s,0.1899999999999995,0
16,16,8.66,10.015,s,s,p,1.3550000000000004,0
17,17,10.015,10.482999999999999,p,p,s,0.468,0
18,18,10.482999999999999,12.8,s,s,p,2.3169999999999997,0
19,19,12.8,13.072000000000001,p,p,s,0.2719999999999985,0
20,20,13.072000000000001,14.395999999999999,s,s,p,1.3240000000000016,0
21,21,14.395999999999999,14.522,p,p,s,0.12599999999999945,0
24,24,14.522,16.204,s,s,p,1.6820000000000004,0
25,25,16.204,17.008,p,p,s,0.8039999999999985,0
28,28,17.008,17.348,s,s,p,0.33999999999999986,0
29,29,17.348,17.519000000000002,p,p,s,0.17099999999999935,0
30,30,17.519000000000002,18.762999999999998,s,s,p,1.244000000000003,0
31,31,18.762999999999998,19.458,p,p,s,0.6949999999999967,0
36,36,19.458,20.484,s,s,p,1.0260000000000034,0
37,37,20.484,20.594,p,p,s,0.10999999999999943,0
38,38,20.594,22.581,s,s,p,1.9869999999999983,0
39,39,22.581,22.935,p,p,s,0.3539999999999992,0
42,42,22.935,23.254,s,s,p,0.3190000000000026,0
43,43,23.254,23.686,p,p,s,0.4319999999999986,0
44,44,23.686,24.498,s,s,p,0.8120000000000012,0
45,45,24.498,25.344,p,p,s,0.8460000000000001,0
50,50,25.344,26.386,s,s,p,1.0419999999999978,0
51,51,26.386,26.518,p,p,s,0.13200000000000145,0
52,52,26.518,28.545,s,s,p,2.027000000000001,0
53,53,28.545,28.996,p,p,s,0.450999999999997,0
58,58,28.996,30.517,s,s,p,1.5210000000000008,0
59,59,30.517,30.846999999999998,p,p,s,0.33000000000000185,0
60,60,30.846999999999998,31.499000000000002,s,s,p,0.6519999999999975,0
61,61,31.499000000000002,31.853,p,p,s,0.3540000000000028,0
62,62,31.853,32.234,s,s,p,0.3810000000000002,0
63,63,32.234,32.516,p,p,s,0.2819999999999965,0
64,64,32.516,33.372,s,s,p,0.8560000000000016,0
65,65,33.372,33.626999999999995,p,p,s,0.25500000000000256,0
68,68,33.626999999999995,34.891999999999996,s,s,p,1.2650000000000006,0
69,69,34.891999999999996,34.961999999999996,p,p,s,0.07000000000000027,0
70,70,34.961999999999996,35.833,s,s,p,0.8709999999999951,0
71,71,35.833,36.0,p,p,s,0.1670000000000016,0
72,72,36.0,36.854,s,s,p,0.8539999999999992,0
73,73,36.854,36.969,p,p,s,0.115000000000002,0
74,74,36.969,37.518,s,s,p,0.5489999999999995,0
75,75,37.518,37.769,p,p,s,0.2509999999999977,0
78,78,37.769,38.757,s,s,p,0.9879999999999995,0
79,79,38.757,39.221,p,p,s,0.4639999999999986,0
82,82,39.221,39.773,s,s,p,0.5520000000000067,0
83,83,39.773,40.001,p,p,s,0.22799999999999446,0
84,84,40.001,42.065,s,s,p,2.064,0
85,85,42.065,42.898999999999994,p,p,s,0.8340000000000033,1
90,90,42.898999999999994,43.795,s,s,p,0.8960000000000008,0
91,91,43.795,44.106,p,p,s,0.31099999999999994,0
92,92,44.106,44.836999999999996,s,s,p,0.7310000000000016,0
93,93,44.836999999999996,45.522,p,p,s,0.6849999999999952,0
98,98,45.522,46.068999999999996,s,s,p,0.5470000000000041,0
99,99,46.068999999999996,46.583,p,p,s,0.5139999999999958,0
104,104,46.583,47.492,s,s,p,0.9089999999999988,0
105,105,47.492,47.549,p,p,s,0.05700000000000216,0
106,106,47.549,48.023999999999994,s,s,p,0.4750000000000014,0
107,107,48.023999999999994,48.511,p,p,s,0.4870000000000019,0
110,110,48.511,52.349,s,s,p,3.8379999999999934,0
